accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,dataset,task,scheme,fold,model,n_train,n_test,excluded_test_frac,n_classes_seen,fit_seconds
0.9787,0.5093,0.5218,0.5093,0.5049,0.9371,,unsw_nb15,multi,stratified,3,LightGBM,1600000,400000,0.0,10,199.0
0.9815,0.5491,0.7134,0.5491,0.5769,0.9894,,unsw_nb15,multi,stratified,3,RandomForest,1600000,400000,0.0,10,122.5
0.9814,0.5567,0.7571,0.5567,0.578,0.9969,,unsw_nb15,multi,stratified,4,XGBoost,1600000,400000,0.0,10,327.5
0.9754,0.4926,0.4848,0.4926,0.4838,0.8624,,unsw_nb15,multi,stratified,4,LightGBM,1600000,400000,0.0,10,235.8
0.9817,0.5506,0.7716,0.5506,0.5872,0.9911,,unsw_nb15,multi,stratified,4,RandomForest,1600000,400000,0.0,10,124.5
0.9813,0.5669,0.7836,0.5669,0.5934,0.997,,unsw_nb15,multi,stratified,5,XGBoost,1600000,400000,0.0,10,325.0
0.9779,0.4945,0.5233,0.4945,0.4976,0.9285,,unsw_nb15,multi,stratified,5,LightGBM,1600000,400000,0.0,10,208.7
0.9813,0.5441,0.7132,0.5441,0.5733,0.9923,,unsw_nb15,multi,stratified,5,RandomForest,1600000,400000,0.0,10,126.0
1.0,1.0,1.0,1.0,1.0,,,unsw_nb15,multi,temporal,1,XGBoost,400000,400000,0.0,10,78.8
1.0,1.0,0.25,0.25,0.25,,,unsw_nb15,multi,temporal,1,LightGBM,400000,400000,0.0,10,70.7
1.0,1.0,1.0,1.0,1.0,,,unsw_nb15,multi,temporal,1,RandomForest,400000,400000,0.0,10,26.5
0.9642,0.522,0.551,0.522,0.5039,0.9934,,unsw_nb15,multi,temporal,2,XGBoost,800000,400000,0.0,10,152.1
0.8354,0.1321,0.2273,0.1321,0.1437,0.5463,,unsw_nb15,multi,temporal,2,LightGBM,800000,400000,0.0,10,52.7
0.9634,0.4832,0.5984,0.4832,0.4545,0.9863,,unsw_nb15,multi,temporal,2,RandomForest,800000,400000,0.0,10,51.9
0.9697,0.5386,0.661,0.5386,0.5497,0.9947,,unsw_nb15,multi,temporal,3,XGBoost,1200000,400000,0.0,10,230.7
0.957,0.4499,0.4393,0.4499,0.4409,0.8124,,unsw_nb15,multi,temporal,3,LightGBM,1200000,400000,0.0,10,148.8
0.969,0.5068,0.7302,0.5068,0.5287,0.991,,unsw_nb15,multi,temporal,3,RandomForest,1200000,400000,0.0,10,85.1
0.9709,0.5431,0.6577,0.5431,0.5488,0.9951,,unsw_nb15,multi,temporal,4,XGBoost,1600000,400000,0.0,10,310.4
0.9618,0.4607,0.4588,0.4607,0.4472,0.8694,,unsw_nb15,multi,temporal,4,LightGBM,1600000,400000,0.0,10,184.5
0.9711,0.5311,0.7166,0.5311,0.545,0.9905,,unsw_nb15,multi,temporal,4,RandomForest,1600000,400000,0.0,10,113.9
0.9721,0.5321,0.6693,0.5321,0.5426,0.9953,,unsw_nb15,multi,group,1,XGBoost,1601383,398617,0.0,10,322.1
0.9667,0.4864,0.4788,0.4864,0.4711,0.9308,,unsw_nb15,multi,group,1,LightGBM,1601383,398617,0.0,10,206.7
0.9718,0.5148,0.6595,0.5148,0.5313,0.9933,,unsw_nb15,multi,group,1,RandomForest,1601383,398617,0.0,10,118.1
0.9795,0.565,0.7112,0.565,0.5952,0.9969,,unsw_nb15,multi,group,2,XGBoost,1601353,398647,0.0,10,312.0
0.9707,0.4961,0.4964,0.4961,0.4822,0.8897,,unsw_nb15,multi,group,2,LightGBM,1601353,398647,0.0,10,190.6
0.9789,0.5657,0.6963,0.5657,0.5993,0.9927,,unsw_nb15,multi,group,2,RandomForest,1601353,398647,0.0,10,124.6
0.9669,0.5273,0.6258,0.5273,0.5404,0.9932,,unsw_nb15,multi,group,3,XGBoost,1594530,405470,0.0,10,316.8
0.9547,0.4484,0.4536,0.4484,0.4472,0.7954,,unsw_nb15,multi,group,3,LightGBM,1594530,405470,0.0,10,199.6
0.9661,0.5133,0.6376,0.5133,0.5323,0.9881,,unsw_nb15,multi,group,3,RandomForest,1594530,405470,0.0,10,125.6
0.9804,0.5097,0.6639,0.5097,0.5298,0.9969,,unsw_nb15,multi,group,4,XGBoost,1601381,398619,0.0,10,324.8
0.9704,0.3949,0.3709,0.3949,0.3701,0.8281,,unsw_nb15,multi,group,4,LightGBM,1601381,398619,0.0,10,220.3
0.9809,0.5053,0.6728,0.5053,0.5374,0.9892,,unsw_nb15,multi,group,4,RandomForest,1601381,398619,0.0,10,126.6
1.0,1.0,0.5,0.5,0.5,,,unsw_nb15,multi,group,5,XGBoost,1601353,398647,0.0,10,331.4
1.0,1.0,0.25,0.25,0.25,,,unsw_nb15,multi,group,5,LightGBM,1601353,398647,0.0,10,201.5
1.0,1.0,1.0,1.0,1.0,,,unsw_nb15,multi,group,5,RandomForest,1601353,398647,0.0,10,127.2
0.9988,0.9985,0.9977,0.9985,0.9981,1.0,0.9998,cicids2017,binary,stratified,1,XGBoost,1600000,400000,0.0,2,40.3
0.9989,0.9987,0.9978,0.9987,0.9982,0.9999,0.9992,cicids2017,binary,stratified,1,LightGBM,1600000,400000,0.0,2,38.9
0.9975,0.9953,0.9969,0.9953,0.9961,0.9999,0.9995,cicids2017,binary,stratified,1,RandomForest,1600000,400000,0.0,2,254.5
0.9988,0.9984,0.9978,0.9984,0.9981,1.0,0.9998,cicids2017,binary,stratified,2,XGBoost,1600000,400000,0.0,2,41.1
0.9989,0.9986,0.998,0.9986,0.9983,1.0,0.9998,cicids2017,binary,stratified,2,LightGBM,1600000,400000,0.0,2,39.4
0.9983,0.9971,0.9975,0.9971,0.9973,0.9999,0.9995,cicids2017,binary,stratified,2,RandomForest,1600000,400000,0.0,2,251.7
0.9988,0.9985,0.9979,0.9985,0.9982,1.0,0.9998,cicids2017,binary,stratified,3,XGBoost,1600000,400000,0.0,2,39.3
0.9989,0.9986,0.9979,0.9986,0.9983,0.9999,0.9988,cicids2017,binary,stratified,3,LightGBM,1600000,400000,0.0,2,39.6
0.9979,0.9962,0.9973,0.9962,0.9967,0.9999,0.9995,cicids2017,binary,stratified,3,RandomForest,1600000,400000,0.0,2,232.6
0.9989,0.9987,0.998,0.9987,0.9983,1.0,0.9998,cicids2017,binary,stratified,4,XGBoost,1600000,400000,0.0,2,38.6
0.999,0.9988,0.998,0.9988,0.9984,0.9999,0.9993,cicids2017,binary,stratified,4,LightGBM,1600000,400000,0.0,2,38.0
0.9981,0.9964,0.9974,0.9964,0.9969,0.9999,0.9995,cicids2017,binary,stratified,4,RandomForest,1600000,400000,0.0,2,252.3
0.9988,0.9985,0.9978,0.9985,0.9981,1.0,0.9998,cicids2017,binary,stratified,5,XGBoost,1600000,400000,0.0,2,39.6
0.9989,0.9987,0.9979,0.9987,0.9983,1.0,0.9997,cicids2017,binary,stratified,5,LightGBM,1600000,400000,0.0,2,38.4
0.9975,0.9951,0.9969,0.9951,0.996,0.9999,0.9995,cicids2017,binary,stratified,5,RandomForest,1600000,400000,0.0,2,234.6
0.7508,0.5031,0.8107,0.5031,0.4351,0.8639,0.6534,cicids2017,binary,temporal,1,XGBoost,1178685,821315,0.0,2,32.0
0.7701,0.5446,0.8323,0.5446,0.5174,0.5739,0.5404,cicids2017,binary,temporal,1,LightGBM,1178685,821315,0.0,2,29.0
0.8194,0.6398,0.9015,0.6398,0.6647,0.8434,0.6695,cicids2017,binary,temporal,1,RandomForest,1178685,821315,0.0,2,180.2
0.5893,0.5001,0.5688,0.5001,0.3713,0.8696,0.7937,cicids2017,binary,temporal,2,XGBoost,1502844,497156,0.0,2,39.2
