,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
average_packet_size,0.7669929504394531,0.29169213175773623,0.6259823441505432,0.06620943322777748,0.4451045572757721,0.032731907442212105,0.0398954413831234,0.199690517783165,0.4577435851097107,0.3017779469490051,0.1305188089609146,0.08628143817186355,0.0449442982673645,0.05377585981041193,0.0019391669891774654
avg_fwd_segment_size,0.03477529771625996,0.0047364476136863235,0.0705229714512825,0.007066761562600732,0.018569810129702092,0.22075000703334807,0.031894924305379393,2.018892216682434,0.015025069564580917,0.2521347552537918,0.03248584289103747,0.022897104220464825,0.01349328299984336,0.016344818472862243,0.0034629196394234895
avg_bwd_segment_size,0.03355225771665573,0.06779380962252617,0.29902697205543516,0.03431773111224175,0.03902029991149902,0.0037341876188293098,0.15575567483901978,0.0008165120147168636,0.16889124661684035,0.22300662696361542,0.00046563294599764047,0.01063420190475881,0.004684306564740837,0.05941267386078834,0.008177048852667212
fwd_header_length.1,0.00014183311177475843,0.0,0.0,0.0,4.578366933856159e-05,0.0005275539588183165,0.0,0.0,0.05412961542606354,0.0034306079149246218,0.0,0.0,0.009657331369817257,0.0,0.005254338239319622
fwd_avg_bytes/bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fwd_avg_packets/bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fwd_avg_bulk_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwd_avg_bytes/bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwd_avg_packets/bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwd_avg_bulk_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subflow_fwd_packets,0.007211602944880724,0.0017456136760301889,0.00390509651042521,0.010227972362190484,0.09246934056282044,0.005102842906489968,0.011277388408780098,0.0046639008913189174,0.14299596697092057,0.0035118190571665764,0.007743363175541163,0.010948894475586713,0.0040932587930001315,0.0,0.00639545910526067
subflow_fwd_bytes,0.022348907962441444,0.00913986227242276,0.05504826605319977,0.002562658383976668,0.0018441085936501621,0.010631613712757827,0.15249881129711867,0.07649393677711487,0.09053276889026166,0.23587048649787903,0.12243285179138183,0.007187827536836266,0.000960865564411506,0.0007376604480668902,0.0020731504308059813
subflow_bwd_packets,0.02258906252682209,0.003357417945517227,0.05364137664437294,1.5775882005691528,0.036166560277342795,0.024755212664604186,0.008106263540685176,0.02276184465736151,0.12119272202253342,0.04784410605207086,0.0043095799395814535,0.03164525702595711,0.000607418641448021,0.013978546857833863,0.0019726976635865865
subflow_bwd_bytes,0.05006645321846008,0.04215429909527302,0.16524004936218262,2.0900614500045775,0.04518471360206604,0.003616200084798038,0.0034335028962232173,0.04619501456618309,0.020168608427047728,0.02733776830136776,0.00011010425005224534,0.007585318339988589,0.004554612305946648,0.010874352604150771,0.006598524143919348
init_win_bytes_forward,1.3748058557510376,1.0290986061096192,1.0167819142341614,1.396570658683777,1.5176988601684571,0.4066894292831421,0.5253658056259155,0.5309365272521973,0.0200456365942955,0.5313968747854233,0.5349479913711548,3.1125042915344237,0.18833763152360916,0.4404649168252945,0.13781167268753053
init_win_bytes_backward,0.7078424096107483,2.6927085876464845,0.435497522354126,0.5172028839588165,1.7329839944839478,0.7242373108863831,0.4701052725315094,0.7962278962135315,0.010774160921573638,0.3012228086590767,0.024523697420954706,4.161436414718628,5.964872932434082,3.424095869064331,5.646518611907959
act_data_pkt_fwd,0.02098963111639023,0.010822646343149245,1.4975757360458375,0.4135681211948395,0.01271171011030674,0.027477613650262356,0.03998411577194929,0.006857168790884316,0.257367804646492,1.2227545022964477,0.014105558022856712,0.1301526553928852,0.07951098084449768,0.02365911230444908,0.021526307612657548
min_seg_size_forward,3.078113149967976e-05,0.0,0.0,0.0,5.959493355476297e-05,0.00043400834256317465,0.0,0.0,0.0,0.0,0.00014396056067198515,0.0,0.0,0.0,0.0
