dataset,task,model,trial,lr,batch,dropout,weight_decay,width,depth,f1_macro,balanced_accuracy,epochs,seconds,hidden,layers
ton_iot,multi,BiLSTM,17,0.002786541928918,2048,0.1,1.9329933033819648e-06,,,0.0233,0.1498,7,233.5,128.0,3.0
ton_iot,multi,BiLSTM,18,0.0013709768754863,256,0.2,5.941462537454564e-05,,,0.4724,0.5914,25,175.3,64.0,3.0
ton_iot,multi,BiLSTM,19,0.0008997333611268,1024,0.5,0.0008225007188121,,,0.0383,0.1,7,11.2,128.0,1.0
unsw_nb15,multi,CNN1D,0,0.0004332296801195,256,0.2,0.0002183096839052,32.0,4.0,0.4464,0.6258,25,175.4,,
unsw_nb15,multi,CNN1D,1,0.0005726848309584,1024,0.2,2.386418878005603e-05,32.0,4.0,0.454,0.6157,25,72.4,,
unsw_nb15,multi,CNN1D,2,0.0001083911041389,512,0.3,0.0006541210527692,64.0,2.0,0.3859,0.4764,25,64.8,,
unsw_nb15,multi,CNN1D,3,0.0011212915939563,512,0.5,1.9762189340280072e-05,32.0,4.0,0.4217,0.5862,17,67.5,,
unsw_nb15,multi,CNN1D,4,0.0010968567722519,512,0.3,0.000834193029414,128.0,3.0,0.4257,0.6162,25,146.7,,
unsw_nb15,multi,CNN1D,5,0.0001425709156083,512,0.2,1.4040609919104426e-05,32.0,4.0,0.4156,0.5809,17,68.5,,
unsw_nb15,multi,CNN1D,6,0.0028966677986872,1024,0.5,2.2464551680532603e-05,64.0,2.0,0.355,0.5469,25,36.6,,
unsw_nb15,multi,CNN1D,7,0.00438101213592,512,0.1,8.20051840224583e-06,32.0,3.0,0.431,0.625,25,76.1,,
unsw_nb15,multi,CNN1D,8,0.001456116573627,1024,0.3,2.32335035153901e-06,32.0,4.0,0.4364,0.6126,25,72.2,,
unsw_nb15,multi,CNN1D,9,0.0001971151073915,256,0.3,3.521342459487091e-06,64.0,3.0,0.464,0.6091,25,152.1,,
unsw_nb15,multi,CNN1D,10,0.0007658004831331,512,0.3,3.5856126103453987e-06,128.0,3.0,0.4062,0.5899,25,146.2,,
unsw_nb15,multi,CNN1D,11,0.0020783840444891,512,0.1,0.0004835952776465,64.0,4.0,0.4625,0.6435,25,162.6,,
unsw_nb15,multi,CNN1D,12,0.0036913582804762,2048,0.3,1.3667272915456224e-06,32.0,2.0,0.3498,0.5611,25,20.9,,
unsw_nb15,multi,CNN1D,13,0.0002892633116977,256,0.1,0.0007866216981266,32.0,2.0,0.3908,0.4815,24,82.7,,
unsw_nb15,multi,CNN1D,14,0.0003189076664588,256,0.0,1.1140616389973703e-06,32.0,2.0,0.3997,0.4785,25,93.4,,
unsw_nb15,multi,CNN1D,15,0.000217679062626,2048,0.2,3.949364447222329e-06,128.0,4.0,0.4329,0.6053,25,1651.1,,
