dataset,fold,attack_class,n_class_total,outcome,n_samples,top_features
unsw_nb15,5,Analysis,2115,correct,10,res_bdy_len=1.1530; ct_flw_http_mthd=1.0990; tcprtt=0.9927; dmeansz=0.6961; ct_state_ttl=0.6633
unsw_nb15,5,Analysis,2115,misclassified,190,proto=1.1331; ct_state_ttl=0.6061; smeansz=0.4703; sttl=0.4452; tcprtt=0.2000
unsw_nb15,5,Reconnaissance,11085,correct,155,sbytes=2.3690; sttl=1.7608; dttl=0.9721; smeansz=0.8463; ct_dst_src_ltm=0.4839
unsw_nb15,5,Reconnaissance,11085,misclassified,45,sttl=0.8872; ct_state_ttl=0.3655; sbytes=0.3087; service=0.2518; ct_dst_src_ltm=0.2496
cicids2017,1,Infiltration,24,correct,3,bwd_packet_length_mean=1.5131; act_data_pkt_fwd=1.2030; fwd_packet_length_mean=0.8558; bwd_iat_min=0.8313; fwd_packet_length_std=0.8109
cicids2017,1,Infiltration,24,misclassified,2,act_data_pkt_fwd=1.2957; bwd_packet_length_mean=1.1033; fwd_packet_length_mean=0.9131; active_min=0.8410; min_packet_length=0.7521
cicids2017,1,Web Attack - XSS,476,correct,26,init_win_bytes_backward=5.9141; fwd_iat_min=2.4497; flow_iat_min=1.9710; fwd_iat_max=0.1440; flow_iat_max=0.1214
cicids2017,1,Web Attack - XSS,476,misclassified,57,init_win_bytes_backward=5.7424; fwd_iat_min=2.3412; flow_iat_min=1.5212; fwd_iat_max=0.1653; init_win_bytes_forward=0.1536
cicids2017,1,Web Attack - Brute Force,1061,correct,141,init_win_bytes_backward=6.2171; flow_iat_min=2.7916; fwd_iat_min=0.9030; fwd_iat_std=0.2335; max_packet_length=0.2167
cicids2017,1,Web Attack - Brute Force,1061,misclassified,30,init_win_bytes_backward=5.4063; flow_iat_min=2.2093; fwd_iat_min=0.6448; urg_flag_count=0.5423; init_win_bytes_forward=0.4275
cicids2017,2,Infiltration,24,correct,4,bwd_packet_length_mean=1.9365; act_data_pkt_fwd=1.6799; bwd_iat_min=0.8490; fwd_packet_length_mean=0.8268; fwd_packet_length_std=0.8197
cicids2017,2,Infiltration,24,misclassified,1,init_win_bytes_forward=1.2035; min_packet_length=0.9434; fwd_iat_min=0.7766; average_packet_size=0.6626; bwd_packet_length_mean=0.6603
cicids2017,2,Web Attack - XSS,476,correct,19,init_win_bytes_backward=5.5391; fwd_iat_min=2.2897; flow_iat_min=2.0304; fwd_iat_std=0.2723; bwd_packets/s=0.1293
cicids2017,2,Web Attack - XSS,476,misclassified,63,init_win_bytes_backward=5.5008; fwd_iat_min=2.3020; flow_iat_min=1.5512; init_win_bytes_forward=0.2941; fwd_iat_std=0.2428
cicids2017,2,Web Attack - Brute Force,1061,correct,147,init_win_bytes_backward=5.9082; flow_iat_min=2.8827; fwd_iat_min=0.7661; bwd_packets/s=0.2874; urg_flag_count=0.2804
cicids2017,2,Web Attack - Brute Force,1061,misclassified,26,init_win_bytes_backward=6.8105; flow_iat_min=3.0953; fwd_iat_min=0.6384; bwd_packets/s=0.1667; max_packet_length=0.1458
cicids2017,3,Infiltration,24,correct,3,bwd_packet_length_mean=1.4234; act_data_pkt_fwd=1.1353; fwd_packet_length_max=0.8524; init_win_bytes_forward=0.7753; fwd_packet_length_mean=0.7729
cicids2017,3,Infiltration,24,misclassified,2,act_data_pkt_fwd=1.2282; bwd_packet_length_mean=1.0458; fwd_iat_min=0.8736; min_packet_length=0.8693; init_win_bytes_forward=0.6765
cicids2017,3,Web Attack - XSS,476,correct,24,init_win_bytes_backward=5.7479; fwd_iat_min=2.3081; flow_iat_min=2.0264; fwd_iat_std=0.3252; flow_iat_max=0.1225
cicids2017,3,Web Attack - XSS,476,misclassified,58,init_win_bytes_backward=5.5292; fwd_iat_min=2.2387; flow_iat_min=1.5090; fwd_iat_std=0.2977; fwd_iat_total=0.1353
cicids2017,3,Web Attack - Brute Force,1061,correct,140,init_win_bytes_backward=5.8062; flow_iat_min=2.5769; fwd_iat_min=0.8481; init_win_bytes_forward=0.2819; max_packet_length=0.2789
cicids2017,3,Web Attack - Brute Force,1061,misclassified,29,init_win_bytes_backward=6.0254; flow_iat_min=2.3635; fwd_iat_min=0.7863; urg_flag_count=0.3669; init_win_bytes_forward=0.2832
cicids2017,4,Web Attack - XSS,476,correct,31,init_win_bytes_backward=5.8561; flow_iat_min=3.4473; fwd_iat_min=0.8243; flow_iat_max=0.1829; fwd_iat_std=0.1671
cicids2017,4,Web Attack - XSS,476,misclassified,58,init_win_bytes_backward=5.4426; flow_iat_min=2.8726; fwd_iat_min=0.8500; init_win_bytes_forward=0.2095; flow_iat_max=0.1735
cicids2017,4,Web Attack - Brute Force,1061,correct,145,init_win_bytes_backward=5.7615; flow_iat_min=3.0466; fwd_iat_min=0.7975; fwd_header_length=0.1981; bwd_packets/s=0.1945
cicids2017,4,Web Attack - Brute Force,1061,misclassified,28,init_win_bytes_backward=6.3444; flow_iat_min=2.9759; fwd_iat_min=0.6417; max_packet_length=0.1212; fwd_iat_std=0.1199
cicids2017,5,Web Attack - XSS,476,correct,32,init_win_bytes_backward=5.6729; fwd_iat_min=2.2725; flow_iat_min=1.9730; fwd_iat_std=0.2559; fwd_iat_total=0.1518
cicids2017,5,Web Attack - XSS,476,misclassified,51,init_win_bytes_backward=5.7932; fwd_iat_min=2.3279; flow_iat_min=1.5194; fwd_iat_std=0.2507; fwd_iat_total=0.1453
cicids2017,5,Web Attack - Brute Force,1061,correct,142,init_win_bytes_backward=6.0650; flow_iat_min=3.0976; fwd_iat_min=0.8401; fwd_header_length=0.1974; bwd_packets/s=0.1888
cicids2017,5,Web Attack - Brute Force,1061,misclassified,40,init_win_bytes_backward=5.7966; flow_iat_min=2.6305; fwd_iat_min=0.6466; urg_flag_count=0.5136; init_win_bytes_forward=0.4052
